,date,total,price,condition,movement,case material,band material,model,listingType,start,url
174,2019-04-20,9200.0,9200.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2018-08-30,http://www.ebay.com/itm/2018-rolex-datejust-41mm-126334-black-index-jubilee-w-warranty-card-/302864408106
175,2019-04-20,3080.0,3050.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,2019-04-13,http://www.ebay.com/itm/tudor-submariner-75090-serviced-rolex-crown-caseback-/264281824340
176,2019-04-20,5685.0,5650.0,pre-owned,NULL,Solid Gold,Solid Gold,Rolex President,StoreInventory,2019-03-05,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/113675012024
177,2019-04-20,5556.0,5556.0,pre-owned,Mechanical (Automatic),NULL,NULL,Rolex Milgauss,FixedPrice,2019-04-20,http://www.ebay.com/itm/rolex-milgauss-green-sapphire-crystal-116400gv-one-owner-/163658098298
178,2019-04-20,10000.0,10000.0,pre-owned,Mechanical (Automatic),Stainless Steel with 18k White Gold Bezel,Stainless Steel,Datejust II,StoreInventory,2018-10-31,http://www.ebay.com/itm/a8-rolex-mens-41mm-chocolate-face-datejust-18k-everose-gold-stainless-steel-box-/312288651301
179,2019-04-20,8400.0,8400.0,pre-owned,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,2019-04-06,http://www.ebay.com/itm/rolex-sea-dweller-deepsea-116660-stainless-steel-black-ceramic-watch-44mm-/401744635103
180,2019-04-20,5293.0,5293.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2019-04-09,http://www.ebay.com/itm/swiss-only-dial-rolex-explorer-ii-16570-stainless-steel-white-polar-date-gmt-/273800137329
181,2019-04-20,11000.0,11000.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-20,http://www.ebay.com/itm/rolex-daytona-18k-yellow-gold-watch-40mm-black-dial-116528-unworn-/372655791672
182,2019-04-20,5750.0,5750.0,pre-owned,Mechanical (Automatic),Stainless Steel,"Rolex Stainless Steel Oyster, Stainless Steel",Rolex Submariner,StoreInventory,2019-01-04,http://www.ebay.com/itm/rolex-submariner-14060-stainless-steel-black-dial-automatic-watch-40mm-/392207705231
183,2019-04-20,5160.0,5140.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,StoreInventory,2019-04-15,http://www.ebay.com/itm/rolex-14270-explorer-black-dial-stainless-steel-swiss-automatic-watch-/352642688253
184,2019-04-20,11495.0,11495.0,pre-owned,NULL,Gold,Yellow Gold,NULL,StoreInventory,2019-04-06,http://www.ebay.com/itm/rolex-president-18038-18k-yellow-gold-champagne-dial-mint-bracelet-box-papers-/273796338505
185,2019-04-20,4550.0,4500.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-17,http://www.ebay.com/itm/rolex-explorer-ii-16570-automatic-1996-t-series-patina-white-polar-date-steel-/223485038027
186,2019-04-20,5250.0,5200.0,pre-owned,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Oyster Perpetual 39,FixedPrice,2019-04-20,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-39mm-rare-and-newly-released-white-dial-mint-/392280489513
187,2019-04-20,5250.0,5200.0,new with tags,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,FixedPrice,2019-04-20,http://www.ebay.com/itm/rolex-watch-mens-air-king-116900-stainless-steel-black-dial-40mm-oyster-band-/143221965589
188,2019-04-20,6000.0,6000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Datejust,Auction,2019-04-13,http://www.ebay.com/itm/men-s-14k-yellow-gold-rolex-date-ref-15037-1986-minty-/293045960397
189,2019-04-20,3028.0,3000.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-13,http://www.ebay.com/itm/rolex-datejust-turn-o-graph-steel-silver-automatic-ref-16264-vintage-gold-dial-/254198234984
190,2019-04-20,3265.0,3265.0,pre-owned,Mechanical (Automatic),"Solid Gold, Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,2019-04-20,http://www.ebay.com/itm/rolex-16233-oyster-perpetual-datejust-jubilee-band-18k-gold-ss-diamond-bezel-/223488635500
191,2019-04-20,3808.0,3733.0,pre-owned,Mechanical: Automatic,NULL,Stainless & Solid Gold,Datejust,Auction,2019-04-10,http://www.ebay.com/itm/genuine-ladies-rolex-steel-gold-datejust-rubies-diamonds-serviced-6917-/273800073374
192,2019-04-20,4992.0,4992.0,pre-owned,Swiss Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,2019-04-13,http://www.ebay.com/itm/mint-rolex-datejust-36mm-16200-diamond-bezel-mop-dial-oyster-watch-16220-/303125573556
193,2019-04-20,11879.0,11879.0,pre-owned,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,2019-04-20,http://www.ebay.com/itm/mint-rolex-president-day-date-18038-complete-box-papers-near-flawless-/202657929267
194,2019-04-19,3550.0,3550.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,2019-04-09,http://www.ebay.com/itm/no-reserve-unpolished-rolex-datejust-16220-complete-box-papers-/202650150749
195,2019-04-19,9675.0,9675.0,pre-owned,NULL,NULL,Nylon,NULL,StoreInventory,2019-03-27,http://www.ebay.com/itm/rolex-gmt-master-ii-stainless-steel-black-dial-116710ln-/273780791329
196,2019-04-19,3725.0,3695.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Air-King,FixedPrice,2019-01-23,http://www.ebay.com/itm/rolex-oyster-perpetual-air-king-precision-blue-arabic-dial-ss-watch-w-papers-/264160252742
197,2019-04-19,3510.0,3500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2019-04-19,http://www.ebay.com/itm/men-s-rolex-datejust-1601-/133027762750
198,2019-04-19,5900.0,5900.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2019-04-19,http://www.ebay.com/itm/authentic-stainless-steel-rolex-explorer-ii-/223488501818
199,2019-04-19,6200.0,6200.0,pre-owned,Mechanical: Automatic,Solid Gold,Yellow Gold,Rolex President,StoreInventory,2018-12-20,http://www.ebay.com/itm/rolex-datejust-26mm-president-18k-yellow-gold-diamond-bezel-band-tiger-eye-dia-/273618770599
200,2019-04-19,3510.0,3500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2019-04-19,http://www.ebay.com/itm/men-s-rolex-datejust-1601-/133027762750
