total,price,condition,MPN,movement,case_material,band_material,model,listing_type,deal_type
4565,4550,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
6950,6950,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,FixedPrice,Good deal
8950,8950,pre-owned,19018,Quartz,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
8340,8300,pre-owned,1675,Automatic,Stainless Steel,Stainless Steel,GMT-Master,StoreInventory,Bad deal
4021,4000,pre-owned,69163,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
8100,8100,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
5792,5792,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
5596,5500,pre-owned,114300,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Bad deal
6250,6250,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
9848,9800,pre-owned,1601,Automatic,Stainless Steel,Leather,Datejust,Auction,Bad deal
8893,8893,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,FixedPrice,Bad deal
6300,6300,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
8100,8100,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Bad deal
7050,7000,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Good deal
3400,3400,pre-owned,1601,Automatic,Stainless Steel,Two Tone 10k Gold,Datejust,FixedPrice,Bad deal
7750,7750,pre-owned,15037,Automatic,14k Gold,14k Gold,Datejust,StoreInventory,Bad deal
4445,4445,pre-owned,1500,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Bad deal
5600,5600,pre-owned,116300,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Good deal
9121,9100,new without tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Bad deal
6000,6000,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
9103,9103,pre-owned,1675,Automatic,Stainless Steel,Stainless Steel,GMT-Master,Auction,Bad deal
6850,6850,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,Good deal
3025,3000,pre-owned,14000,Automatic,Stainless Steel,Stainless Steel,Air-King,Auction,Good deal
4095,4050,pre-owned,1603,Automatic,Stainless Steel,Leather,Datejust,Auction,Bad deal
6746,6725,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,Auction,Good deal
6000,6000,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
2580,2550,pre-owned,67193,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
4900,4900,pre-owned,69173,Automatic,18k Gold,Two Tone 18k Gold,Datejust,FixedPrice,Bad deal
7600,7600,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,StoreInventory,Good deal
10493,10493,new with tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
9300,9300,pre-owned,1680,Automatic,Stainless Steel,Leather,Submariner,Auction,Good deal
6393,6393,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
3420,3390,pre-owned,16013,Automatic,Stainless Steel,Genuine Rolex Clasp,Datejust,FixedPrice,Good deal
5901,5901,pre-owned,1803,Automatic,18k Gold,18k Gold,President,Auction,Good deal
7150,7150,pre-owned,116234,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
7150,7150,pre-owned,116234,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
2568,2529,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Good deal
4000,4000,pre-owned,1601,Automatic,Stainless Steel,Leather,Datejust,StoreInventory,Bad deal
3950,3950,pre-owned,1601,Automatic,Stainless Steel,Leather,Datejust,StoreInventory,Bad deal
8250,8250,pre-owned,16623,Automatic,18k Gold,18k Gold,Yachmaster,FixedPrice,Bad deal
7600,7600,pre-owned,16700,Automatic,Stainless Steel,Stainless Steel,GMT-Master,StoreInventory,Good deal
7500,7500,pre-owned,16622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,FixedPrice,Bad deal
4550,4550,pre-owned,68278,Automatic,18k Gold,18k Gold,Datejust,Auction,Good deal
3500,3500,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
3993,3993,pre-owned,16013,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
9150,9150,pre-owned,1803,Automatic,18k Gold,18k Gold,President,StoreInventory,Bad deal
11500,11500,pre-owned,16800,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
9500,9500,pre-owned,18038,Automatic,18k Gold,18k Gold,President,FixedPrice,Bad deal
8500,8500,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
9754,9739,pre-owned,16013,Automatic,18k Gold,18k Gold,Datejust,Auction,Bad deal
8250,8250,pre-owned,16613,Automatic,Stainless Steel,18k Gold,Submariner,StoreInventory,Bad deal
6000,6000,pre-owned,18038,Automatic,18k Gold,Leather,President,FixedPrice,Good deal
3093,3093,pre-owned,1625,Automatic,Stainless Steel,18k Gold,Datejust,Auction,Good deal
10900,10900,new with tags,126333,Automatic,Silver,18k Gold,Datejust,StoreInventory,Bad deal
11695,11695,new without tags,116622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,StoreInventory,Bad deal
4850,4850,pre-owned,16622,Automatic,Stainless Steel,Stainless Steel,Yachmaster,Auction,Good deal
