total,price,condition,MPN,movement,case material,band material,model,listingType,url
7805,7750,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/mens-rolex-submariner-16610t-stainless-steel-black-dial-bezel-insert-2008-/264246369770
3894,3894,pre-owned,68273,Mechanical (Automatic),"Stainless Steel, Gold","Stainless Steel, Gold",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-31mm-midsize-two-tone-stainless-gold-68273-black-stick-watch-/273814952285
6016,6000,pre-owned,6.83E+11,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,http://www.ebay.com/itm/rolex-oyster-perpetual-explorer-ii-216570-black-dial-rolex-warranty-2018-/192878120024
4000,4000,pre-owned,178240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex DateJust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-178240-stainless-steel-automatic-watch-31mm-box-paperwork-/401746410905
6800,6800,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction,http://www.ebay.com/itm/estate-rolex-ladies-masterpiece-president-18k-gold-datejust-diamond-bezel-/303123241504
3400,3400,seller refurbished,4074,Mechanical (Hand-winding),Gold,Yellow Gold,Rolex Cellini,StoreInventory,http://www.ebay.com/itm/unisex-vintage-rolex-cellini-18k-yellow-gold-w-gold-dial-/273810753854
3887,3887,pre-owned,1601,Swiss Automatic,Stainless Steel,Stainless Steel,Date Just 1601,StoreInventory,http://www.ebay.com/itm/rolex-mens-datejust-steel-oyster-diamond-sapphire-bezel-dial-pearl-watch-/254197951596
5700,5700,pre-owned,15037,Mechanical (Automatic),14K Yellow GOld,Alligator,15037 ROlex 14K Oyster Perpetual Date,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-date-14k-yellow-gold-15037-34mm-circa-1980-watch-/282808471893
7500,7500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-no-date-114060-black-dial-ceramic-steel-w-b-p-2015-mens-watch-/113630488586
7250,7250,pre-owned,116613LB,Automatic,"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Submariner,StoreInventory,http://www.ebay.com/itm/mens-rolex-datejust-36mm-two-tone-diamond-watch-app-9-5-carats-si1-vs2-diamonds-/163634170942
7800,7800,new with tags,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-36mm-black-dial-steel-rose-gold-watch-116231-jubilee-band-/273798749799
8375,8300,pre-owned,18038,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,FixedPrice,http://www.ebay.com/itm/rolex-18k-yellow-gold-president-quartz-36mm-day-date-/133015126634
9500,9500,seller refurbished,16710,Automatic Self Wind,Stainless Steel,Stainless Steel,Rolex GMT-Master II,FixedPrice,http://www.ebay.com/itm/rolex-stainless-steel-gmt-master-ii-pepsi-40mm-16710-box-warranty-minty-/283401246572
5775,5750,new with tags,"$7,850 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/new-rolex-oyster-perpetual-date-34-mm-silver-dial-watch-115234-2018-unworn-7450-/163648577113
3080,3050,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/tudor-submariner-75090-serviced-rolex-crown-caseback-/264281824340
