,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
108,43501,3325,3250,pre-owned,68240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,43496,http://www.ebay.com/itm/rolex-68240-stainless-midsize-datejust-/223357094382
109,43501,7550,7500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,43501,http://www.ebay.com/itm/rolex-submariner-watch-116610-pre-owned-black-ceramic-bezel-/333056880710
110,43501,7895,7895,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,43501,http://www.ebay.com/itm/rolex-submariner-116610-ceramic-bezel-black-dial-stainless-steel-watch-w-box-/333056555732
113,43501,3278,3278,pre-owned,1601,Mechanical: Automatic/Kinetic,"Solid Gold, Stainless Steel",Leather,Rolex Datejust,Auction,43494,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-datejust-watch-stainless-steel-fits-size-71-2-wrist-/273677632464
114,43501,3920,3920,pre-owned,6917,Mechanical (Automatic),"Yellow Gold Crown, Stainless Steel",Genuine Leather,Rolex Lady-Datejust,FixedPrice,43441,http://www.ebay.com/itm/rolex-watch-lady-datejust-6917-26mm-two-tone-white-dial-w-diamonds-emeralds-/113429400344
116,43501,3300,3300,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,"Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,43501,http://www.ebay.com/itm/womens-rolex-datejust-diamond-/233122728723
117,43501,5000,5000,pre-owned,178274,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,43500,http://www.ebay.com/itm/rolex-lady-datejust-31mm-178274-/163525420193
127,43501,7495,7495,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,178240,FixedPrice,43501,http://www.ebay.com/itm/rolex-datejust-ladies-31mm-178240-diamond-bezel-diamond-dial-box-papers-/401701287229
129,43501,4800,4800,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,43499,http://www.ebay.com/itm/rolex-oyster-perpetual-114300-39mm-rare-and-newly-released-white-dial-mint-/163524201415
130,43501,3799,3799,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,43494,http://www.ebay.com/itm/rolex-ref-16200-box-and-paper-d-serial-/292938030203
132,43501,6350,6350,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction,43491,http://www.ebay.com/itm/2008-rolex-explorer-ii-16570-white-dial-40mm-m-series-boxes-papers-/283353192842
135,43501,5017,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction,43494,http://www.ebay.com/itm/rolex-mens-16233-datejust-quick-set-tu-tone-18k-ss-diamond-/202578869322
138,43500,8600,8600,pre-owned,RLX116610LN,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,43480,http://www.ebay.com/itm/2014-rolex-submariner-116610ln-ceramic-stainless-steel-w-warranty-card-papers-/303029982010
139,43500,5025,5000,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,43500,http://www.ebay.com/itm/mens-rolex-day-date-president-18k-yellow-gold-watch-louis-vuitton-band-18038-/372590270564
146,43500,3045,3045,new with tags,Does Not Apply,Mechanical (Automatic),Titanium,Titanium,Tudor Pelagos,Auction,43495,http://www.ebay.com/itm/new-tudor-pelagos-titanium-watch-m25600tn-0001-cosc-lr-rolex-/123621027821
150,43500,3050,3050,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,Auction,43497,http://www.ebay.com/itm/rolex-datejust-silver-diamond-dial-watch-36mm-diamond-bezel-1ct-jubilee-band-/183664935870
151,43500,7900,7900,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,43492,http://www.ebay.com/itm/rolex-submariner-2-tone-stainless-gold-watch-2004-f-series-/183656950119
152,43500,3350,3350,pre-owned,1500,Mechanical (Automatic),"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Date,StoreInventory,43414,http://www.ebay.com/itm/rolex-yellow-gold-steel-date-white-roman-dial-34mm-jubilee-bracelet-ref-15053-/123482156009
154,43500,9695,9695,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,43485,http://www.ebay.com/itm/brand-new-rolex-submariner-116610-black-ceramic-box-booklets-/273665614060
155,43500,3295,3295,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Genuine Leather,Rolex Datejust,Auction,43493,http://www.ebay.com/itm/mens-vintage-rolex-oyster-perpetual-datejust-stainless-steel-gold-diamond-watch-/163512906198
156,43500,3000,3000,pre-owned,15210,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,43491,http://www.ebay.com/itm/rolex-15210-oyster-perpetual-date-blue-dial-stainless-steel-/254097132908
160,43500,3000,3000,pre-owned,Does not apply,Mechanical Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,43500,http://www.ebay.com/itm/original-rolex-opener-/273685483573
165,43500,3900,3900,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel and Solid 18K Gold,Genuine Leather,Rolex 16013,StoreInventory,43483,http://www.ebay.com/itm/rolex-vintage-16013-swiss-made-men-18k-gold-stainless-original-1980-watch-aa3-/254080705984
169,43500,3505,3495,pre-owned,16263,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction,43490,http://www.ebay.com/itm/estate-rolex-1990-91-datejust-16263-thunderbird-quickset-18k-s-s-mens-watch-/401693032006
171,43500,3023,3008,pre-owned,1601,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction,43495,http://www.ebay.com/itm/rolex-datejust-1601-blue-pie-pan-dial-w-6251-h-folded-link-jubilee-/132934750744
175,43500,3179,3160,pre-owned,116710BLNR,Mechanical (Automatic),"Stainless Steel, Ceramic",Ceramic,GMT Master II,Auction,43500,http://www.ebay.com/itm/rolex-gmt-2-batman-used-100-authentic-year-2015-/303050125665
179,43499,10000,10000,pre-owned,18078,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,43355,http://www.ebay.com/itm/1980-mens-rolex-president-day-date-18078-bark-18k-gold-diamond-wristwatch-/392122948651
186,43499,4300,4250,pre-owned,9630,Mechanical (Hand-winding),Gold,Gold,King Midas,Auction,43492,http://www.ebay.com/itm/rare-vintage-rolex-20mm-18k-gold-rivet-bracelet-18038-18028-18238-16018-/202578092617
188,43499,6000,6000,pre-owned,16803,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,43499,http://www.ebay.com/itm/rolex-submariner-rare-16803-black-dial-18k-gold-stainless-steel-original-box-/173776374594
190,43499,3388,3388,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,6916,StoreInventory,43474,http://www.ebay.com/itm/rolex-ladies-date-datejust-oyster-stainless-diamond-dial-bezel-watch-/264126906143
191,43499,6311,6311,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,43274,http://www.ebay.com/itm/1980-rolex-day-date-president-diamond-black-36mm-18038-18k-yellow-gold-watch-/273317454725
194,43499,6000,6000,pre-owned,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory,43158,http://www.ebay.com/itm/rolex-31mm-datejust-white-mop-mother-pearl-string-diamond-dial-bezel-2-tone-/142704709204
195,43499,3600,3600,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Leather,Rolex Datejust,StoreInventory,43469,http://www.ebay.com/itm/mens-rolex-oyster-perpetual-datejust-watch-two-tone-stainless-steel-yellow-gold-/192780283856
3,2/3/2019,5000,5000,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,1/31/2019,http://www.ebay.com/itm/rolex-datejust-watch-diamond-bezel-oyster-bracelet-gold-and-ss-wg9337-/392227616887
5,2/3/2019,3815,3750,pre-owned,1550,Mechanical (Automatic),"Gold Shell, Stainless Steel",Leather,Rolex Date,FixedPrice,1/18/2019,http://www.ebay.com/itm/rolex-date-just-mens-14k-solid-gold-watch-leather-strap-rolex-box-papers-/223330904203
7,2/3/2019,4915,4850,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory,1/28/2019,http://www.ebay.com/itm/rolex-explorer-ii-16570-white-dial-2007-full-set-/273675943770
11,2/3/2019,4995,4995,pre-owned,168622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,StoreInventory,1/9/2019,http://www.ebay.com/itm/rolex-midsize-35mm-platinum-yacht-master-automatic-watch-ref-168622-c-2000-/183628950042
12,2/3/2019,4750,4750,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Explorer I 214270,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-explorer-214270-39mm-/192813081678
13,2/3/2019,10100,10000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Datejust,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-18k-ss-16233-factory-diamond-set-dial-1988-/202585836084
14,2/3/2019,5800,5800,pre-owned,16803,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2/2/2019,http://www.ebay.com/itm/rolex-submariner-rare-16803-black-dial-18k-gold-stainless-steel-original-box-/173774662360
15,2/3/2019,4060,4000,pre-owned,6917,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex Lady-Datejust,FixedPrice,11/27/2018,http://www.ebay.com/itm/vintage-swiss-rolex-datejust-ladies-oyster-6917-18k-solid-gold-watch-1980-s-/163400556859
19,2/3/2019,4500,4500,pre-owned,69173,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel",Rolex Datejust,StoreInventory,9/1/2018,http://www.ebay.com/itm/rolex-datejust-ladies-18k-yellow-gold-steel-watch-meteorite-factory-dial-/223126426333
20,2/3/2019,6014,6000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2/1/2019,http://www.ebay.com/itm/rolex-oyster-mens-watch-submariner-stainless-steel-black-dial-model-16610-w-box-/382762065781
23,2/2/2019,3300,3300,pre-owned,1625,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Datejust,Auction,1/26/2019,http://www.ebay.com/itm/rolex-datejust-turn-o-graph-thunderbird-mens-wrist-watch-white-gold-w-box-/202577275683
25,2/2/2019,5043,5043,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,6/23/2018,http://www.ebay.com/itm/2000-rolex-explorer-ii-16570-stainless-polar-white-swiss-date-gmt-40mm-watch-/263776000166
28,2/2/2019,10592,10592,pre-owned,16523,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",DAYTONA,FixedPrice,12/12/2018,http://www.ebay.com/itm/factory-diamonds-rolex-daytona-16523-zenith-18k-gold-steel-sel-chrono-watch-c8-/283301365717
30,2/2/2019,3706,3706,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction,1/28/2019,http://www.ebay.com/itm/mens-rolex-datejust-16233-quickset-blue-dial-18k-gold-ss-watch-w-box-/401696469280
31,2/2/2019,7000,7000,new with tags,178274,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Midsize Datejust,StoreInventory,1/20/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-178274-31mm-silver-diamond-dial-gold-fluted-beze-/233101971020
32,2/2/2019,6100,6100,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,1/25/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292933626642
38,2/2/2019,4494,4494,pre-owned,3187,Mechanical (Hand-winding),Solid Gold,Solid Gold,Rolex Precision,StoreInventory,11/25/2017,http://www.ebay.com/itm/retro-vintage-rolex-precision-18j-swiss-watch-w-18k-yellow-gold-buckle-bracelet-/202125133240
39,2/2/2019,7594,7594,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice,12/22/2018,http://www.ebay.com/itm/rolex-submariner-16803-blue-serti-diamond-sapphire-two-tone-gold-watch-16613-/264099481353
45,2/2/2019,9390,9380,pre-owned,18038,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,StoreInventory,1/13/2019,http://www.ebay.com/itm/mens-rolex-day-date-president-18k-yellow-gold-automatic-diamond-bezel-/163484292616
48,2/2/2019,9000,9000,pre-owned,16660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,FixedPrice,2/1/2019,http://www.ebay.com/itm/amazing-pre-owned-1984-rolex-16660-sea-dweller-/283361967623
50,2/2/2019,3323,3300,pre-owned,3806,Mechanical (Hand-winding),Solid Gold,Genuine Leather,Rolex Cellini,StoreInventory,10/22/2018,http://www.ebay.com/itm/rolex-cellini-18k-gold-mens-manual-wind-watch-ref-4309-80-grams-great-shape-/202478150051
55,2/1/2019,8985,8985,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice,7/27/2018,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-116660-black-dial-stainless-steel-44mm-automatic-me-/332735385017
58,2/1/2019,7775,7750,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,StoreInventory,2/1/2019,http://www.ebay.com/itm/mint-rolex-gmt-master-ii-stainless-black-40mm-ceramic-116710-ln-date-watch-/143112865655
62,2/1/2019,6990,6990,pre-owned,18038,Mechanical: Automatic,18K Yellow Gold,18K Yellow Gold,18038 18K Yellow Gold Day-Date,FixedPrice,2/1/2019,http://www.ebay.com/itm/rolex-18k-yellow-gold-36mm-day-date-18038-factory-burl-wood-dial-box-warranty-/264173633945
63,2/1/2019,6350,6350,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/1/2019,http://www.ebay.com/itm/rolex-submariner-16613-18k-yellow-gold-stainless-steel-blue-dial-/323676511756
64,2/1/2019,5450,5450,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,StoreInventory,1/8/2019,http://www.ebay.com/itm/rolex-explorer-214270-black-dial-/132912723341
65,2/1/2019,5500,5500,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,2/1/2019,http://www.ebay.com/itm/mens-rolex-president-solid-18k-yellow-gold-bark-finish-18248-l-serial-/273681516913
68,2/1/2019,7925,7900,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,12/19/2018,http://www.ebay.com/itm/rolex-watch-mens-18k-yellow-gold-president-rolex-oyster-quartz-w-silver-dial-/362513434902
74,2/1/2019,3900,3900,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction,1/25/2019,http://www.ebay.com/itm/rolex-16220-datejust-36mm-steel-automatic-tiffany-co-silver-dial-oyster-watch-/233108322668
75,2/1/2019,8140,8100,pre-owned,1803,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,Auction,1/25/2019,http://www.ebay.com/itm/vtg-1978-rolex-president-day-date-1803-18k-gold-mens-wristwatch-florentine-/223343142903
78,2/1/2019,6500,6500,pre-owned,69173,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Datejust,Auction,2/1/2019,http://www.ebay.com/itm/rolex-datejust-18k-gold-two-tone-band-2ct-vs-diamond-bezel-gold-face-/283360750490
80,2/1/2019,3118,3100,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice,1/29/2019,http://www.ebay.com/itm/rolex-date-just-thunderbird-turn-o-graph-silver-dial-ss-18k-gold-band-/143108942860
86,1/31/2019,6055,6055,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,1/26/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-explorer-ii-216570-polar-dial-/292934710527
88,1/31/2019,4795,4750,pre-owned,116200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,1/25/2019,http://www.ebay.com/itm/rolex-datejust-116200-oyster-perpetual-white-roman-36mm-wristwatch-box-papers-/183654103812
92,1/31/2019,10500,10500,new with tags,Does not apply,Mechanical (Automatic),Stainless Steel,Ceramic,Rolex GMT-Master II,FixedPrice,1/28/2019,http://www.ebay.com/itm/rolex-stainless-steel-gmt-116710-new-2018-40mm-pepsi-bezel-116719-/372582127935
94,1/31/2019,5000,5000,pre-owned,Does Not Apply,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction,1/21/2019,http://www.ebay.com/itm/2000-ladies-rolex-president-datejust-69138-18k-gold-diamond-bezel-watch-/163498228922
98,1/31/2019,7500,7500,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,FixedPrice,1/17/2019,http://www.ebay.com/itm/rolex-midsize-18k-solid-gold-oyster-perpetual-6050-automatic-c-1948-swiss-lv794-/264143973961
101,1/31/2019,10700,10700,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice,9/30/2018,http://www.ebay.com/itm/rolex-day-date-auto-36mm-white-gold-mens-president-bracelet-watch-18239-/292750951797
104,1/31/2019,3750,3750,pre-owned,16220,Mechanical (Automatic),Stainless Steel,Stainless Steel,datajust,Auction,1/24/2019,http://www.ebay.com/itm/rolex-16220-ss-oyster-perpetual-datejust-36mm-silver-dial-watch-box-books-/143100676747
105,1/31/2019,7500,7500,pre-owned,6517,Automatic,"Solid Gold, Rose Gold",Rose Gold,Rolex Lady-Datejust,Auction,1/24/2019,http://www.ebay.com/itm/vintage-rolex-1803-day-date-18k-gold-president-bracelet-silver-dial-c-1966-/143100645102
106,1/31/2019,6350,6350,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,1/27/2019,http://www.ebay.com/itm/rolex-submariner-16613-18k-yellow-gold-stainless-steel-blue-dial-/323668870813
113,1/31/2019,4375,4350,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Stainless & Solid Gold, Solid Gold, Stainless Steel",Rolex Datejust,Auction,1/26/2019,http://www.ebay.com/itm/vintage-rolex-oyster-perpetual-datejust-1601-diamond-dial-18k-ss-men-s-auto-watc-/223345426495
114,1/31/2019,7225,7200,pre-owned,116688,Mechanical (Automatic),18K Yellow Gold,18K Yellow Gold,Rolex Yacht-Master II,Auction,1/26/2019,http://www.ebay.com/itm/rolex-yacht-master-68623-a253036-date-white-dial-18k-ss-men-s-auto-watch-/223345425588
116,1/31/2019,5458,5400,pre-owned,216570,Mechanical: Automatic,Stainless Steel,Stainless Steel,Explorer II,StoreInventory,12/15/2018,http://www.ebay.com/itm/rolex-explorer-ii-white-dial-2016-mint-condition-216570-full-box-and-papers-/123545414328
117,1/31/2019,9200,9200,pre-owned,16623,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",Yacht Master,StoreInventory,10/10/2018,http://www.ebay.com/itm/mint-rolex-yacht-master-16623-two-tone-gold-tahitian-mop-40mm-watch-/273501683604
120,1/31/2019,8100,8100,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,FixedPrice,1/31/2019,http://www.ebay.com/itm/like-new-rolex-gmt-master-ii-stainless-black-40mm-ceramic-116710-ln-date-watch-/223354800414
121,1/31/2019,3689,3689,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,1/14/2019,http://www.ebay.com/itm/rolex-mens-datejust-16014-silver-fatboy-dial-18k-white-gold-fluted-bezel-36mm-/113555327467
122,1/31/2019,4191,4191,pre-owned,178240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex DateJust,Auction,1/24/2019,http://www.ebay.com/itm/2008-rolex-datejust-midsize-178240-stainless-steel-blue-dial-31-mm-box-papers-/123605861830
123,1/31/2019,3320,3300,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,MPN 1500,StoreInventory,1/3/2019,http://www.ebay.com/itm/pristine-vintage-1966-men-rolex-diamond-oyster-date-watch-w-boxes-/183618021313
125,1/31/2019,3860,3760,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,1/9/2019,http://www.ebay.com/itm/rolex-sea-dweller-deep-sea-116660-44mm-ceramic-bezel-black-dial-3900m-deepsea-/303024427987
132,1/30/2019,7855,7800,pre-owned,116613,Mechanical (Automatic),Stainless Steel,Leather,Rolex Submariner,StoreInventory,1/27/2019,http://www.ebay.com/itm/rolex-submariner-gold-and-stainless-/143106119959
133,1/30/2019,5000,5000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-submariner-black-face-16610-stainless-steel-oyster-perpetual-/323673467441
135,1/30/2019,4200,4200,pre-owned,76100,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,Auction,1/25/2019,http://www.ebay.com/itm/genuine-rolex-tudor-submariner-76100-vintage-mens-watch-box-papers-/401694586734
138,1/30/2019,8017,8000,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,1/28/2019,http://www.ebay.com/itm/authentic-factory-rolex-submariner-116610ln-black-ceramic-/312449032902
139,1/30/2019,3455,3400,pre-owned,1601,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction,1/23/2019,http://www.ebay.com/itm/vintage-rolex-datejust-1601-4-9-million-serial-black-gilt-dial-/292931083307
140,1/30/2019,9495,9495,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,FixedPrice,12/21/2018,http://www.ebay.com/itm/rolex-gmt-master-ii-stainless-steel-18k-yellow-gold-ceramic-bezel-40mm-watc-/233061169175
141,1/30/2019,3015,3000,pre-owned,6619,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,1/28/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-ladies-watch-automatic-stainless-steel-euc-/113603069828
142,1/30/2019,5600,5600,pre-owned,18248,Mechanical (Automatic),Solid Gold,"Crocodile Skin, Solid Gold",Rolex President,FixedPrice,1/29/2019,http://www.ebay.com/itm/mens-rolex-president-solid-18k-yellow-gold-bark-finish-18248-l-serial-/273677541464
145,1/30/2019,6025,5950,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Oyster Perpetual,StoreInventory,1/26/2019,http://www.ebay.com/itm/mens-rolex-date-oyster-perpetual-14k-gold-15000-3035-watch-w-box-/303041663617
146,1/30/2019,5200,5200,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,"Yellow Gold, Stainless Steel",Rolex Datejust,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-datejust-turnograph-thunderbird-18k-gold-steel-gray-dial-mens-watch-16263-/143091735392
147,1/30/2019,7029,7000,pre-owned,16622,Mechanical (Automatic),Stainless Steel,Stainless Steel,YACHT-MASTER,StoreInventory,1/18/2019,http://www.ebay.com/itm/rolex-16622-yachtmaster-platinum-40mm-stainless-steel-watch-11550-like-new-/153343644588
149,1/30/2019,3498,3498,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,1601,StoreInventory,1/25/2019,http://www.ebay.com/itm/great-rolex-datejust-1601-cal-1570-black-dial-automatic-mens-watch-450954-/254094497277
150,1/30/2019,5523,5500,pre-owned,Does Not Apply,Mechanical (Hand-winding),"Gold, White Gold","Crocodile Skin, Leather",Rolex Cellini,StoreInventory,12/18/2018,http://www.ebay.com/itm/rolex-cellini-prince-18k-white-gold-hand-wind-mechanical-wristwatch-5441-9-/362512168735
155,1/30/2019,4185,4185,pre-owned,16234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,1/22/2019,http://www.ebay.com/itm/rare-stunning-mens-rolex-datejust-blue-dial-roman-numerals-16234-8-wrist-/292928919274
156,1/30/2019,6417,6377,pre-owned,16800,Mechanical (Automatic),Stainless Steel,Rubber,Rolex Submariner,Auction,1/23/2019,http://www.ebay.com/itm/vintage-1982-rolex-submariner-date-matte-patina-16800-everest-fully-serviced-nr-/192800098709
159,1/30/2019,8519,8500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Leather,Oyster Perpetual,StoreInventory,11/21/2018,http://www.ebay.com/itm/one-owner-vintage-1958-rolex-6610-explorer-all-paperwork-boxes-/273571271278
161,1/30/2019,8010,8000,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,FixedPrice,12/19/2018,http://www.ebay.com/itm/rolex-gmt-master-ii-16713-oyster-18k-yellow-gold-ss-ceramic-bezel-watch-/113466154820
164,1/29/2019,3960,3960,pre-owned,15210,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,1/5/2019,http://www.ebay.com/itm/rolex-date-blue-dial-oyster-bracelet-steel-mens-watch-15210-/254054898717
167,1/29/2019,6950,6950,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,1/29/2019,http://www.ebay.com/itm/submariner-16610-steel-rolex-watch-diamond-blue-sapphires-dial-and-insert-/283357168657
173,1/29/2019,5145,5100,pre-owned,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air-King 14000,Auction,1/22/2019,http://www.ebay.com/itm/nice-mens-rolex-air-king-116900-stainless-steel-wrist-watch-/143100536512
175,1/29/2019,6150,6150,pre-owned,Does Not Apply,Mechanical: Automatic,"Silver, Stainless Steel, SS/18kt Solid Gold","Silver, Stainless Steel, SS/18kt Solid Gold",Rolex Datejust,StoreInventory,1/23/2019,http://www.ebay.com/itm/rolex-un-worn-mens-datejust-box-papers-factory-champagne-diamond-dial-16233-/223340357889
178,1/29/2019,3875,3875,new without tags,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,12/6/2018,http://www.ebay.com/itm/new-rolex-datejust-26mm-79174-18k-white-gold-steel-silver-index-dial-w-box-/254015016180
