,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
131,4/22/2019,5405,5375,new with tags,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,4/9/2019,http://www.ebay.com/itm/new-rolex-oyster-perpetual-39-mm-dark-rhodium-steel-mens-watch-ref-114300-2018-/163642126006
133,4/22/2019,7869,7835,pre-owned,15037,Mechanical (Automatic),14K Gold,14k Yellow Gold,Rolex Date,StoreInventory,4/17/2019,http://www.ebay.com/itm/rolex-15037-14k-gold-date-1987-near-mint-condition-/123738672986
136,4/22/2019,6975,6975,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,4/13/2019,http://www.ebay.com/itm/gentlemens-two-tone-blue-rolex-submariner-16613-wristwatch-/123734456100
138,4/22/2019,7500,7500,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,4/22/2019,http://www.ebay.com/itm/rolex-watch-datejust-/273816745066
141,4/22/2019,7250,7250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2/15/2019,http://www.ebay.com/itm/rolex-sea-dweller-16660-triple-6-vintage-1984-steel-pre-owned-near-mint-8-3-mill-/132954288843
142,4/22/2019,3725,3700,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Leather,Oysterdate Precision,Auction,4/12/2019,http://www.ebay.com/itm/rolex-6694-oman-model-vintage-hand-winding-watch-1966-running-good-cal-1225-/113715989520
143,4/22/2019,6410,6310,pre-owned,179138,Mechanical (Automatic),Gold,Gold,Rolex President,Auction,4/15/2019,http://www.ebay.com/itm/rolex-ladies-president-18k-datejust-rolex-diamond-bezel-dial-1999-mfg-/183774987428
147,4/22/2019,10700,10700,pre-owned,116613,Mechanical (Automatic),Yellow Gold / Steel,Yellow Gold / Steel,Rolex Submariner,Auction,4/12/2019,http://www.ebay.com/itm/rolex-submariner-116613-40mm-stainless-steel-yellow-gold-ceramic-watch-/273803199774
149,4/22/2019,6500,6500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,4/20/2019,http://www.ebay.com/itm/rolex-datejust-18k-gold-stainless-steel-jubilee-bracelet-watch-/223489063239
152,4/22/2019,8514,8500,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,FixedPrice,4/10/2019,http://www.ebay.com/itm/rolex-16753-gmt-master-18k-gold-steel-root-beer-/254195013700
